date,debt,test
13/09/2015,45,x
20/09/2015,43,x
27/09/2015,42,x
04/10/2015,44,x
11/10/2015,43,x
18/10/2015,44,x
25/10/2015,48,x
01/11/2015,46,x
08/11/2015,45,x
15/11/2015,43,x
22/11/2015,31,x
29/11/2015,43,x
06/12/2015,43,x
13/12/2015,40,x
20/12/2015,27,x
27/12/2015,32,x
03/01/2016,41,x
10/01/2016,48,x
17/01/2016,43,x
24/01/2016,48,x
31/01/2016,53,x
07/02/2016,50,x
14/02/2016,100,x
21/02/2016,63,x
28/02/2016,52,x
06/03/2016,50,x
13/03/2016,46,x
20/03/2016,46,x
27/03/2016,46,x
03/04/2016,49,x
10/04/2016,51,x
17/04/2016,49,x
24/04/2016,51,x
01/05/2016,52,x
08/05/2016,50,x
15/05/2016,45,x
22/05/2016,41,x
29/05/2016,37,x
05/06/2016,52,x
12/06/2016,39,x
19/06/2016,41,x
26/06/2016,40,x
03/07/2016,36,x
10/07/2016,41,x
17/07/2016,45,x
24/07/2016,47,x
31/07/2016,41,x
07/08/2016,40,x
14/08/2016,38,x
21/08/2016,40,x
28/08/2016,39,x
04/09/2016,40,x
11/09/2016,44,x
18/09/2016,43,x
25/09/2016,52,x
02/10/2016,46,x
09/10/2016,48,x
16/10/2016,55,x
23/10/2016,48,x
30/10/2016,48,x
06/11/2016,56,x
13/11/2016,50,x
20/11/2016,36,x
27/11/2016,49,x
04/12/2016,48,x
11/12/2016,44,x
18/12/2016,33,x
25/12/2016,33,x
01/01/2017,40,x
08/01/2017,48,x
15/01/2017,55,x
22/01/2017,57,x
29/01/2017,51,x
05/02/2017,47,x
12/02/2017,47,x
19/02/2017,54,x
26/02/2017,58,x
05/03/2017,49,x
12/03/2017,48,x
19/03/2017,49,x
26/03/2017,47,x
02/04/2017,47,x
09/04/2017,46,x
16/04/2017,49,x
23/04/2017,49,x
30/04/2017,48,x
07/05/2017,43,x
14/05/2017,42,x
21/05/2017,40,x
28/05/2017,39,x
04/06/2017,39,x
11/06/2017,39,x
18/06/2017,40,x
25/06/2017,39,x
02/07/2017,38,x
09/07/2017,42,x
16/07/2017,42,x
23/07/2017,42,x
30/07/2017,46,x
06/08/2017,43,x
13/08/2017,40,x
20/08/2017,42,x
27/08/2017,41,x
03/09/2017,45,x
10/09/2017,45,x
17/09/2017,46,x
24/09/2017,47,x
01/10/2017,48,x
08/10/2017,48,x
15/10/2017,49,x
22/10/2017,46,x
29/10/2017,45,x
05/11/2017,44,x
12/11/2017,46,x
19/11/2017,35,x
26/11/2017,49,x
03/12/2017,47,x
10/12/2017,44,x
17/12/2017,42,x
24/12/2017,33,x
31/12/2017,40,x
07/01/2018,45,x
14/01/2018,43,x
21/01/2018,48,x
28/01/2018,50,x
04/02/2018,53,x
11/02/2018,51,x
18/02/2018,48,x
25/02/2018,48,x
04/03/2018,47,x
11/03/2018,46,x
18/03/2018,49,x
25/03/2018,45,x
01/04/2018,46,x
08/04/2018,49,x
15/04/2018,49,x
22/04/2018,48,x
29/04/2018,47,x
06/05/2018,44,x
13/05/2018,40,x
20/05/2018,41,x
27/05/2018,39,x
03/06/2018,41,x
10/06/2018,41,x
17/06/2018,41,x
24/06/2018,42,x
01/07/2018,38,x
08/07/2018,43,x
15/07/2018,43,x
22/07/2018,43,x
29/07/2018,45,x
05/08/2018,43,x
12/08/2018,42,x
19/08/2018,42,x
26/08/2018,41,x
02/09/2018,40,x
09/09/2018,47,x
16/09/2018,47,x
23/09/2018,47,x
30/09/2018,48,x
07/10/2018,46,x
14/10/2018,50,x
21/10/2018,49,x
28/10/2018,48,x
04/11/2018,47,x
11/11/2018,46,x
18/11/2018,36,x
25/11/2018,47,x
02/12/2018,49,x
09/12/2018,49,x
16/12/2018,41,x
23/12/2018,35,x
30/12/2018,45,x
06/01/2019,51,x
13/01/2019,51,x
20/01/2019,49,x
27/01/2019,49,x
03/02/2019,50,x
10/02/2019,58,x
17/02/2019,53,x
24/02/2019,52,x
03/03/2019,52,x
10/03/2019,49,x
17/03/2019,46,x
24/03/2019,48,x
31/03/2019,46,x
07/04/2019,48,x
14/04/2019,46,x
21/04/2019,53,x
28/04/2019,49,x
05/05/2019,46,x
12/05/2019,45,x
19/05/2019,46,x
26/05/2019,40,x
02/06/2019,42,x
09/06/2019,43,x
16/06/2019,44,x
23/06/2019,51,x
30/06/2019,39,x
07/07/2019,45,x
14/07/2019,46,x
21/07/2019,50,x
28/07/2019,48,x
04/08/2019,47,x
11/08/2019,47,x
18/08/2019,50,x
25/08/2019,44,x
01/09/2019,42,x
08/09/2019,47,x
15/09/2019,46,x
22/09/2019,46,x
29/09/2019,48,x
06/10/2019,46,x
13/10/2019,46,x
20/10/2019,48,x
27/10/2019,46,x
03/11/2019,49,x
10/11/2019,48,x
17/11/2019,47,x
24/11/2019,36,x
01/12/2019,49,x
